Sentence,Sentiment
Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikhe ga ye to sirf Turkmenistan. hi hai.. Great MODi ji,positive
Love u sir love u soo much urs I'ts beautyful vedio ...,positive
Arae sur jee pahelae hamare bharat ke bachho ka parao.... Firr vedesh may jao yaar,neutral
Wah! Jitni sundar geet ke bhao hain utnihi sundar aur sureeli aawaz hai .,positive
Sundar ekdam sahi Gaya Hua gana.chhotisi gudiya ko naman,positive
Wao lata mangekar,positive
Aatma aur mun ki pavitrata ki jhalak hai is beti ki aawaz mei khush raho beti.,positive
Joy hind joy hindMeri bhatan tuje salamModi ji aapko salam,positive
Kash Modiji Aap Manmohan Singh se phly aa gy hoty....aj 2015 humara Desh kha phuch gya hota,positive
India me student pe atyachaar karra hai result nahi dikhaijara hai aur yaha ye inke aankho me dhul jhokra hai,negative
:o :o :o,neutral
Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikha denge ye to sirf Turkmenistan. hi hai.. Great MODi ji .........great,positive
modiji duniya k masiha he...kafi ku6 kiya he or aage bhi karna he....,positive
BaH Guruji Kya style hai apka duniyako hila ke chhore hain.,positive
Awsome...isey kehte hain hindustan ki chaap chodna poore duniya me...,positive
Namaste MAHA MODI ji!!,neutral
Modi ji aap ko shat shat naman hai jo aap ne pure universe me apne hindustan ka parcham laharaya......,positive
V good Modi ji aap lege rahe hum aapke sath he,positive
fantabulous... We proud of you Modi Ji...Hamare desh ki tasvir bhi sudharti nazar aa rahi h sablogon me badlao dikh raha h... India ko apke jaisa hi PM chahiye..Bharat ki kuch zamini samsyaye bhi h jaha dhyan dene ki zarurat h...asha h ki jald hi unme bhi sudhar ayega.,positive
Wah sir g ab desh sahi hatho me gya h apko dekh kar aisa hi lagata h,positive
its not hindi its urdu and bolywood ager kamyab hai tu Urdu ki waja say,neutral
Narendra Modi Yeh kya bakchodi pel rahe ho facebook pe kaam karlo plz!,negative
Kash ye sab bangladesh aur pakistan b gate toh kitna acha hota,neutral
wah wah Turkes,neutral
masha allah good....yeh hain meri hindi,positive
Wah wah maja aa gya !! Indian Govt. should host an International Hindi song compitition !! Tarrakki bahut ho gayi ab thoda entertainment ho jai 'Kyo bhayio aur behno' ???,positive
Mujhe gussa un saale hinduo par aata hai jo nasmjhi me modi ji ka virodh karte hain ..,negative
